id,solver,cardinality,logsize,dbsize,badcomplaints,remaincomplaints,fixedrate,noiserate,preptime,solvetime,finishtime,totaltime
347,cplex,5,5,500,9,0,1,0,8570000,33627000,24000,42221000
348,cplex,5,5,500,1,0,1,0,9607000,8607000,24000,18238000
349,cplex,5,5,500,12,0,1,0,8658000,7615000,22000,16295000
350,cplex,5,5,500,1,0,1,0,8928000,8424000,27000,17379000
351,cplex,5,5,500,20,0,1,0,8609000,7740000,23000,16372000
352,cplex,5,5,500,1,0,1,0,9160000,8353000,23000,17536000
353,cplex,5,5,500,51,0,1,0,9377000,7308000,22000,16707000
354,cplex,5,5,500,1,0,1,0,9492000,12225000,24000,21741000
355,cplex,5,5,500,1,0,1,0,9343000,43863000,22000,53228000
356,cplex,5,5,500,1,0,1,0,8767000,11347000,22000,20136000
357,cplex,5,5,500,1,0,1,0,8966000,8298000,24000,17288000
358,cplex,5,5,500,5,0,1,0,8515000,7598000,24000,16137000
359,cplex,5,5,500,1,0,1,0,8776000,44325000,23000,53124000
360,cplex,5,5,1000,14,0,1,0,17753000,15685000,43000,33481000
361,cplex,5,5,1000,46,0,1,0,17340000,14880000,33000,32253000
362,cplex,5,5,1000,54,0,1,0,17244000,15102000,71000,32417000
363,cplex,5,5,1000,2,0,1,0,17609000,73664000,23000,91296000
364,cplex,5,5,1000,2,0,1,0,17658000,17071000,55000,34784000
365,cplex,5,5,1000,16,0,1,0,18550000,15213000,37000,33800000
1029,dt,1,5,1000,316,0,1,0,1545000,1608000,254000,3407000
1043,dt,1,5,1000,470,0,1,0,1411000,842000,279000,2532000
1057,dt,1,5,5000,1273,0,1,0,5572000,4464000,234000,10270000
1071,dt,1,5,5000,2538,0,1,0,5109000,2224000,223000,7556000
1085,dt,1,5,10000,1770,0,1,0,9746000,5761000,212000,15719000
1099,dt,1,5,10000,1644,0,1,0,9910000,5099000,232000,15241000
366,cplex,5,5,1000,1,0,1,0,38076000,21177000,36000,59289000
367,cplex,5,5,1000,1,0,1,0,39016000,30306000,40000,69362000
368,cplex,5,5,1000,9,0,1,0,18705000,65495000,38000,84238000
369,cplex,5,5,1000,14,0,1,0,21394000,81598000,70000,103062000
